[2025-02-21 23:13:26] FAILED: Error occurred: 'str' object is not callable
[2025-02-21 23:14:02] FAILED: Error occurred: 'str' object is not callable
[2025-02-21 23:15:55] SUCCESS: Successfully scraped 6 plans
[2025-02-22 04:21:20] SUCCESS: Successfully scraped 6 plans
[2025-02-21 23:24:06] SUCCESS: Successfully scraped 6 plans
[2025-02-22 06:00:04] SUCCESS: Successfully scraped 6 plans
[2025-02-22 12:00:05] SUCCESS: Successfully scraped 6 plans
[2025-02-22 18:00:04] SUCCESS: Successfully scraped 6 plans
[2025-02-23 00:00:04] SUCCESS: Successfully scraped 6 plans
[2025-02-22 23:05:12 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-23 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-23 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-23 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-23 19:00:06 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-24 01:00:06 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-24 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-24 13:00:06 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-24 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-25 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-25 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-25 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-25 19:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-26 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-26 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-26 13:00:06 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-26 19:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-27 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-27 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-27 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-27 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-28 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-28 06:29:23 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-28 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-28 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-02-28 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-01 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-01 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-01 13:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-01 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-02 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-02 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-02 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-02 19:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-03 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-03 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-03 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-03 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-04 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-04 07:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-04 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-04 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-05 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-05 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-05 13:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-05 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-06 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-06 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-06 13:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-06 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-07 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-07 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-07 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-07 19:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-08 01:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-08 07:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-08 13:00:04 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-08 19:00:05 EST] SUCCESS: Successfully scraped 6 plans
[2025-03-09 01:00:04 EST] SUCCESS: Successfully scraped 6 plans
